Month,Date,Description,Category,Amount,Payment Method,Notes
Sep 2025,2025-09-01,House Rent,Bills & Utilities,10710,Net Banking,
Sep 2025,2025-09-01,Gym Membership — Cult.fit,Health,1760,Credit Card,
Sep 2025,2025-09-02,Grocery — BigBasket,Food & Dining,1120,UPI,
Sep 2025,2025-09-02,D-Mart Grocery Shopping,Food & Dining,3050,Debit Card,
Sep 2025,2025-09-03,BMTC Bus Pass,Transportation,600,Cash,
Sep 2025,2025-09-03,Swiggy Order,Food & Dining,340,UPI,
Sep 2025,2025-09-03,Breakfast — Darshini,Food & Dining,65.5,Cash,
Sep 2025,2025-09-04,Society Maintenance,Bills & Utilities,1370,Net Banking,
Sep 2025,2025-09-04,Zomato Order,Food & Dining,570,UPI,
Sep 2025,2025-09-04,Tea & Snacks,Food & Dining,64.21,Cash,
Sep 2025,2025-09-05,BESCOM Electricity Bill,Bills & Utilities,910,Net Banking,
Sep 2025,2025-09-05,Laundry Service,Other,220,Cash,
Sep 2025,2025-09-06,SIP — Zerodha,Investment,2110,Net Banking,
Sep 2025,2025-09-06,Ola/Uber Ride,Transportation,220,UPI,
Sep 2025,2025-09-06,Auto Rickshaw,Transportation,100,Cash,
Sep 2025,2025-09-07,Broadband — ACT Fibernet,Bills & Utilities,630,UPI,
Sep 2025,2025-09-07,Ola/Uber Ride,Transportation,330,UPI,
Sep 2025,2025-09-07,Petrol — HPCL,Transportation,1410,UPI,
Sep 2025,2025-09-08,BWSSB Water Bill,Bills & Utilities,270,Net Banking,
Sep 2025,2025-09-08,Breakfast — Darshini,Food & Dining,150,Cash,
Sep 2025,2025-09-08,Auto Rickshaw,Transportation,140,Cash,
Sep 2025,2025-09-08,House Cleaning Service,Other,670,Cash,
Sep 2025,2025-09-09,Auto Rickshaw,Transportation,180,Cash,
Sep 2025,2025-09-09,GST Bill — Restaurant (Dine In),Food & Dining,2740,Credit Card,GST Bill
Sep 2025,2025-09-10,Piped Gas Bill,Bills & Utilities,390,UPI,
Sep 2025,2025-09-10,Spotify Premium,Entertainment,120,UPI,
Sep 2025,2025-09-11,LIC Premium,Investment,2810,Net Banking,
Sep 2025,2025-09-11,Metro Card Recharge,Transportation,260,UPI,
Sep 2025,2025-09-12,Netflix Subscription,Entertainment,470,Credit Card,
Sep 2025,2025-09-12,Swiggy Order,Food & Dining,570,UPI,
Sep 2025,2025-09-13,Zomato Order,Food & Dining,160,UPI,
Sep 2025,2025-09-13,D-Mart Grocery Shopping,Food & Dining,1820,Debit Card,
Sep 2025,2025-09-15,Tea & Snacks,Food & Dining,87.21,Cash,
Sep 2025,2025-09-16,Amazon Prime,Entertainment,300,Credit Card,
Sep 2025,2025-09-16,Metro Card Recharge,Transportation,320,UPI,
Sep 2025,2025-09-18,Mobile Recharge — Airtel,Bills & Utilities,310,UPI,
Sep 2025,2025-09-18,House Cleaning Service,Other,430,Cash,
Sep 2025,2025-09-19,Breakfast — Darshini,Food & Dining,83.07,Cash,
Sep 2025,2025-09-19,Petrol — HPCL,Transportation,1380,UPI,
Sep 2025,2025-09-20,Swiggy Order,Food & Dining,280,UPI,
Sep 2025,2025-09-21,YouTube Premium,Entertainment,140,UPI,
Sep 2025,2025-09-21,Ola/Uber Ride,Transportation,110,UPI,
Sep 2025,2025-09-21,Ola/Uber Ride,Transportation,140,UPI,
Sep 2025,2025-09-21,Auto Rickshaw,Transportation,140,Cash,
Sep 2025,2025-09-22,GST Receipt — Medical Equipment,Health,2300,Net Banking,GST Bill
Sep 2025,2025-09-23,Ola/Uber Ride,Transportation,430,UPI,
Sep 2025,2025-09-24,Zomato Order,Food & Dining,330,UPI,
Sep 2025,2025-09-25,Swiggy Order,Food & Dining,320,UPI,
Sep 2025,2025-09-27,Breakfast — Darshini,Food & Dining,140,Cash,
Sep 2025,2025-09-27,Grocery — BigBasket,Food & Dining,1880,UPI,
Sep 2025,2025-09-28,Tea & Snacks,Food & Dining,50.95,Cash,
Sep 2025,2025-09-28,GST Invoice — Software License,Education,4310,Net Banking,GST Bill
Sep 2025,2025-09-29,Breakfast — Darshini,Food & Dining,160,Cash,
Sep 2025,2025-09-30,Laundry Service,Other,310,Cash,
Oct 2025,2025-10-01,BMTC Bus Pass,Transportation,600,Cash,
Oct 2025,2025-10-02,House Rent,Bills & Utilities,8630,Net Banking,
Oct 2025,2025-10-02,Ola/Uber Ride,Transportation,400,UPI,
Oct 2025,2025-10-02,Petrol — HPCL,Transportation,1170,UPI,
Oct 2025,2025-10-03,Swiggy Order,Food & Dining,520,UPI,
Oct 2025,2025-10-03,Tea & Snacks,Food & Dining,60.43,Cash,
Oct 2025,2025-10-03,Tea & Snacks,Food & Dining,93.71,Cash,
Oct 2025,2025-10-03,Ola/Uber Ride,Transportation,270,UPI,
Oct 2025,2025-10-04,Society Maintenance,Bills & Utilities,1610,Net Banking,
Oct 2025,2025-10-04,Tea & Snacks,Food & Dining,52.31,Cash,
Oct 2025,2025-10-04,Grocery — BigBasket,Food & Dining,1720,UPI,
Oct 2025,2025-10-05,BESCOM Electricity Bill,Bills & Utilities,1680,Net Banking,
Oct 2025,2025-10-05,Broadband — ACT Fibernet,Bills & Utilities,980,UPI,
Oct 2025,2025-10-05,Gym Membership — Cult.fit,Health,1920,Credit Card,
Oct 2025,2025-10-05,SIP — Zerodha,Investment,1450,Net Banking,
Oct 2025,2025-10-05,Zomato Order,Food & Dining,420,UPI,
Oct 2025,2025-10-07,BWSSB Water Bill,Bills & Utilities,390,Net Banking,
Oct 2025,2025-10-07,College Fees,Education,7390,Net Banking,
Oct 2025,2025-10-08,Ola/Uber Ride,Transportation,100,UPI,
Oct 2025,2025-10-08,Laundry Service,Other,200,Cash,
Oct 2025,2025-10-09,Spotify Premium,Entertainment,120,UPI,
Oct 2025,2025-10-09,PPF Deposit,Investment,1820,Net Banking,
Oct 2025,2025-10-09,Zomato Order,Food & Dining,360,UPI,
Oct 2025,2025-10-10,Netflix Subscription,Entertainment,590,Credit Card,
Oct 2025,2025-10-11,Piped Gas Bill,Bills & Utilities,380,UPI,
Oct 2025,2025-10-12,D-Mart Grocery Shopping,Food & Dining,2170,Debit Card,
Oct 2025,2025-10-13,Metro Card Recharge,Transportation,420,UPI,
Oct 2025,2025-10-14,LIC Premium,Investment,1950,Net Banking,
Oct 2025,2025-10-14,Grocery — BigBasket,Food & Dining,1070,UPI,
Oct 2025,2025-10-14,House Cleaning Service,Other,390,Cash,
Oct 2025,2025-10-15,D-Mart Grocery Shopping,Food & Dining,3190,Debit Card,
Oct 2025,2025-10-15,House Cleaning Service,Other,420,Cash,
Oct 2025,2025-10-15,GST Invoice — Software License,Education,2140,Net Banking,GST Bill
Oct 2025,2025-10-16,Amazon Prime,Entertainment,300,Credit Card,
Oct 2025,2025-10-17,Mobile Recharge — Airtel,Bills & Utilities,590,UPI,
Oct 2025,2025-10-18,Auto Rickshaw,Transportation,58.52,Cash,
Oct 2025,2025-10-18,Laundry Service,Other,260,Cash,
Oct 2025,2025-10-19,Hotstar Subscription,Entertainment,470,Credit Card,
Oct 2025,2025-10-19,Tea & Snacks,Food & Dining,79.85,Cash,
Oct 2025,2025-10-19,Tea & Snacks,Food & Dining,49.82,Cash,
Oct 2025,2025-10-19,Auto Rickshaw,Transportation,110,Cash,
Oct 2025,2025-10-20,YouTube Premium,Entertainment,150,UPI,
Oct 2025,2025-10-20,Zomato Order,Food & Dining,310,UPI,
Oct 2025,2025-10-21,Petrol — HPCL,Transportation,600,UPI,
Oct 2025,2025-10-22,Breakfast — Darshini,Food & Dining,140,Cash,
Oct 2025,2025-10-22,Auto Rickshaw,Transportation,110,Cash,
Oct 2025,2025-10-23,Breakfast — Darshini,Food & Dining,97.41,Cash,
Oct 2025,2025-10-23,GST Receipt — Hotel Stay,Travel,7740,Credit Card,GST Bill
Oct 2025,2025-10-24,Breakfast — Darshini,Food & Dining,140,Cash,
Oct 2025,2025-10-25,Swiggy Order,Food & Dining,420,UPI,
Oct 2025,2025-10-26,Auto Rickshaw,Transportation,110,Cash,
Oct 2025,2025-10-26,Metro Card Recharge,Transportation,460,UPI,
Oct 2025,2025-10-27,Swiggy Order,Food & Dining,180,UPI,
Oct 2025,2025-10-29,Tea & Snacks,Food & Dining,76.58,Cash,
Oct 2025,2025-10-30,Breakfast — Darshini,Food & Dining,120,Cash,
Oct 2025,2025-10-30,Auto Rickshaw,Transportation,160,Cash,
Oct 2025,2025-10-30,GST Invoice — Office Supplies,Shopping,2070,Net Banking,GST Bill
Oct 2025,2025-10-31,Zomato Order,Food & Dining,370,UPI,
Nov 2025,2025-11-01,House Rent,Bills & Utilities,10320,Net Banking,
Nov 2025,2025-11-01,BMTC Bus Pass,Transportation,600,Cash,
Nov 2025,2025-11-01,Zomato Order,Food & Dining,330,UPI,
Nov 2025,2025-11-01,Grocery — BigBasket,Food & Dining,1270,UPI,
Nov 2025,2025-11-03,Zomato Order,Food & Dining,370,UPI,
Nov 2025,2025-11-03,Auto Rickshaw,Transportation,130,Cash,
Nov 2025,2025-11-04,Tea & Snacks,Food & Dining,110,Cash,
Nov 2025,2025-11-04,Ola/Uber Ride,Transportation,350,UPI,
Nov 2025,2025-11-04,Metro Card Recharge,Transportation,220,UPI,
Nov 2025,2025-11-05,BESCOM Electricity Bill,Bills & Utilities,1460,Net Banking,
Nov 2025,2025-11-05,Gym Membership — Cult.fit,Health,1250,Credit Card,
Nov 2025,2025-11-05,SIP — Zerodha,Investment,2680,Net Banking,
Nov 2025,2025-11-05,Swiggy Order,Food & Dining,490,UPI,
Nov 2025,2025-11-05,Breakfast — Darshini,Food & Dining,170,Cash,
Nov 2025,2025-11-05,Ola/Uber Ride,Transportation,180,UPI,
Nov 2025,2025-11-05,D-Mart Grocery Shopping,Food & Dining,2670,Debit Card,
Nov 2025,2025-11-05,Laundry Service,Other,290,Cash,
Nov 2025,2025-11-05,House Cleaning Service,Other,320,Cash,
Nov 2025,2025-11-06,Society Maintenance,Bills & Utilities,1580,Net Banking,
Nov 2025,2025-11-06,Breakfast — Darshini,Food & Dining,110,Cash,
Nov 2025,2025-11-07,BWSSB Water Bill,Bills & Utilities,240,Net Banking,
Nov 2025,2025-11-07,Broadband — ACT Fibernet,Bills & Utilities,620,UPI,
Nov 2025,2025-11-07,Auto Rickshaw,Transportation,140,Cash,
Nov 2025,2025-11-08,Swiggy Order,Food & Dining,280,UPI,
Nov 2025,2025-11-08,Breakfast — Darshini,Food & Dining,100,Cash,
Nov 2025,2025-11-09,Ola/Uber Ride,Transportation,120,UPI,
Nov 2025,2025-11-09,D-Mart Grocery Shopping,Food & Dining,1570,Debit Card,
Nov 2025,2025-11-09,GST Invoice — Software License,Education,1730,Net Banking,GST Bill
Nov 2025,2025-11-10,Spotify Premium,Entertainment,120,UPI,
Nov 2025,2025-11-10,Swiggy Order,Food & Dining,380,UPI,
Nov 2025,2025-11-10,Tea & Snacks,Food & Dining,110,Cash,
Nov 2025,2025-11-11,Piped Gas Bill,Bills & Utilities,420,UPI,
Nov 2025,2025-11-12,Netflix Subscription,Entertainment,270,Credit Card,
Nov 2025,2025-11-14,Amazon Prime,Entertainment,300,Credit Card,
Nov 2025,2025-11-14,LIC Premium,Investment,1290,Net Banking,
Nov 2025,2025-11-14,Petrol — HPCL,Transportation,1060,UPI,
Nov 2025,2025-11-15,Petrol — HPCL,Transportation,1050,UPI,
Nov 2025,2025-11-16,Auto Rickshaw,Transportation,75.16,Cash,
Nov 2025,2025-11-17,Mobile Recharge — Airtel,Bills & Utilities,320,UPI,
Nov 2025,2025-11-18,Breakfast — Darshini,Food & Dining,140,Cash,
Nov 2025,2025-11-18,House Cleaning Service,Other,370,Cash,
Nov 2025,2025-11-19,Zomato Order,Food & Dining,580,UPI,
Nov 2025,2025-11-20,YouTube Premium,Entertainment,170,UPI,
Nov 2025,2025-11-20,Ola/Uber Ride,Transportation,160,UPI,
Nov 2025,2025-11-22,Swiggy Order,Food & Dining,510,UPI,
Nov 2025,2025-11-22,Tea & Snacks,Food & Dining,100,Cash,
Nov 2025,2025-11-24,GST Receipt — Hotel Stay,Travel,6860,Credit Card,GST Bill
Nov 2025,2025-11-26,GST Invoice — Courier Service,Other,460,Net Banking,GST Bill
Nov 2025,2025-11-27,Grocery — BigBasket,Food & Dining,1190,UPI,
Nov 2025,2025-11-27,Laundry Service,Other,240,Cash,
Nov 2025,2025-11-28,Auto Rickshaw,Transportation,76.96,Cash,
Nov 2025,2025-11-29,Breakfast — Darshini,Food & Dining,68.25,Cash,
Nov 2025,2025-11-29,Metro Card Recharge,Transportation,410,UPI,
Nov 2025,2025-11-30,Swiggy Order,Food & Dining,280,UPI,
Nov 2025,2025-11-30,Auto Rickshaw,Transportation,160,Cash,
Dec 2025,2025-12-01,Swiggy Order,Food & Dining,410,UPI,
Dec 2025,2025-12-01,Tea & Snacks,Food & Dining,57.35,Cash,
Dec 2025,2025-12-02,House Rent,Bills & Utilities,9400,Net Banking,
Dec 2025,2025-12-02,BMTC Bus Pass,Transportation,600,Cash,
Dec 2025,2025-12-02,Swiggy Order,Food & Dining,500,UPI,
Dec 2025,2025-12-03,Gym Membership — Cult.fit,Health,1040,Credit Card,
Dec 2025,2025-12-03,D-Mart Grocery Shopping,Food & Dining,2250,Debit Card,
Dec 2025,2025-12-04,Swiggy Order,Food & Dining,340,UPI,
Dec 2025,2025-12-05,BESCOM Electricity Bill,Bills & Utilities,910,Net Banking,
Dec 2025,2025-12-05,Broadband — ACT Fibernet,Bills & Utilities,690,UPI,
Dec 2025,2025-12-05,Society Maintenance,Bills & Utilities,1890,Net Banking,
Dec 2025,2025-12-05,Breakfast — Darshini,Food & Dining,83.02,Cash,
Dec 2025,2025-12-05,Grocery — BigBasket,Food & Dining,830,UPI,
Dec 2025,2025-12-06,BWSSB Water Bill,Bills & Utilities,410,Net Banking,
Dec 2025,2025-12-06,Ola/Uber Ride,Transportation,320,UPI,
Dec 2025,2025-12-07,SIP — Zerodha,Investment,4150,Net Banking,
Dec 2025,2025-12-07,Tea & Snacks,Food & Dining,68.69,Cash,
Dec 2025,2025-12-07,Petrol — HPCL,Transportation,1220,UPI,
Dec 2025,2025-12-08,Auto Rickshaw,Transportation,130,Cash,
Dec 2025,2025-12-08,Auto Rickshaw,Transportation,150,Cash,
Dec 2025,2025-12-08,Grocery — BigBasket,Food & Dining,2180,UPI,
Dec 2025,2025-12-08,Metro Card Recharge,Transportation,240,UPI,
Dec 2025,2025-12-08,GST Invoice — Courier Service,Other,530,Net Banking,GST Bill
Dec 2025,2025-12-09,GST Invoice — Software License,Education,3730,Net Banking,GST Bill
Dec 2025,2025-12-10,Piped Gas Bill,Bills & Utilities,410,UPI,
Dec 2025,2025-12-10,Spotify Premium,Entertainment,120,UPI,
Dec 2025,2025-12-11,Netflix Subscription,Entertainment,360,Credit Card,
Dec 2025,2025-12-11,Zomato Order,Food & Dining,410,UPI,
Dec 2025,2025-12-12,Zomato Order,Food & Dining,320,UPI,
Dec 2025,2025-12-13,Tea & Snacks,Food & Dining,79.31,Cash,
Dec 2025,2025-12-13,Metro Card Recharge,Transportation,350,UPI,
Dec 2025,2025-12-14,LIC Premium,Investment,2200,Net Banking,
Dec 2025,2025-12-14,Breakfast — Darshini,Food & Dining,99.14,Cash,
Dec 2025,2025-12-14,House Cleaning Service,Other,410,Cash,
Dec 2025,2025-12-15,Ola/Uber Ride,Transportation,240,UPI,
Dec 2025,2025-12-15,GST Bill — Electronics Purchase,Shopping,3180,Credit Card,GST Bill
Dec 2025,2025-12-16,Mobile Recharge — Airtel,Bills & Utilities,420,UPI,
Dec 2025,2025-12-16,Amazon Prime,Entertainment,300,Credit Card,
Dec 2025,2025-12-16,Ola/Uber Ride,Transportation,370,UPI,
Dec 2025,2025-12-17,Breakfast — Darshini,Food & Dining,97.11,Cash,
Dec 2025,2025-12-17,Auto Rickshaw,Transportation,130,Cash,
Dec 2025,2025-12-19,Swiggy Order,Food & Dining,250,UPI,
Dec 2025,2025-12-20,YouTube Premium,Entertainment,140,UPI,
Dec 2025,2025-12-20,Swiggy Order,Food & Dining,640,UPI,
Dec 2025,2025-12-20,Tea & Snacks,Food & Dining,81.22,Cash,
Dec 2025,2025-12-20,Auto Rickshaw,Transportation,86.93,Cash,
Dec 2025,2025-12-20,D-Mart Grocery Shopping,Food & Dining,3150,Debit Card,
Dec 2025,2025-12-22,Zomato Order,Food & Dining,510,UPI,
Dec 2025,2025-12-22,Breakfast — Darshini,Food & Dining,170,Cash,
Dec 2025,2025-12-22,Ola/Uber Ride,Transportation,160,UPI,
Dec 2025,2025-12-23,Breakfast — Darshini,Food & Dining,95.48,Cash,
Dec 2025,2025-12-23,Laundry Service,Other,150,Cash,
Dec 2025,2025-12-25,Laundry Service,Other,370,Cash,
Dec 2025,2025-12-26,Swiggy Order,Food & Dining,420,UPI,
Dec 2025,2025-12-27,Auto Rickshaw,Transportation,170,Cash,
Dec 2025,2025-12-29,Petrol — HPCL,Transportation,1130,UPI,
Dec 2025,2025-12-29,House Cleaning Service,Other,350,Cash,
Dec 2025,2025-12-31,Zomato Order,Food & Dining,430,UPI,
Dec 2025,2025-12-31,Ola/Uber Ride,Transportation,370,UPI,
Jan 2026,2026-01-01,House Rent,Bills & Utilities,9090,Net Banking,
Jan 2026,2026-01-02,BMTC Bus Pass,Transportation,600,Cash,
Jan 2026,2026-01-03,Breakfast — Darshini,Food & Dining,140,Cash,
Jan 2026,2026-01-03,Tea & Snacks,Food & Dining,72.33,Cash,
Jan 2026,2026-01-04,Society Maintenance,Bills & Utilities,1510,Net Banking,
Jan 2026,2026-01-04,GST Invoice — Office Supplies,Shopping,1520,Net Banking,GST Bill
Jan 2026,2026-01-05,BESCOM Electricity Bill,Bills & Utilities,1280,Net Banking,
Jan 2026,2026-01-05,Gym Membership — Cult.fit,Health,1950,Credit Card,
Jan 2026,2026-01-05,Zomato Order,Food & Dining,570,UPI,
Jan 2026,2026-01-05,Breakfast — Darshini,Food & Dining,160,Cash,
Jan 2026,2026-01-05,Auto Rickshaw,Transportation,73.4,Cash,
Jan 2026,2026-01-06,BWSSB Water Bill,Bills & Utilities,270,Net Banking,
Jan 2026,2026-01-06,Broadband — ACT Fibernet,Bills & Utilities,960,UPI,
Jan 2026,2026-01-06,Breakfast — Darshini,Food & Dining,66.03,Cash,
Jan 2026,2026-01-07,SIP — Zerodha,Investment,2520,Net Banking,
Jan 2026,2026-01-07,College Fees,Education,12530,Net Banking,
Jan 2026,2026-01-08,Spotify Premium,Entertainment,120,UPI,
Jan 2026,2026-01-10,Piped Gas Bill,Bills & Utilities,560,UPI,
Jan 2026,2026-01-10,Netflix Subscription,Entertainment,520,Credit Card,
Jan 2026,2026-01-10,LIC Premium,Investment,3170,Net Banking,
Jan 2026,2026-01-10,Laundry Service,Other,290,Cash,
Jan 2026,2026-01-11,PPF Deposit,Investment,1310,Net Banking,
Jan 2026,2026-01-11,Tea & Snacks,Food & Dining,49.05,Cash,
Jan 2026,2026-01-11,Tea & Snacks,Food & Dining,60.38,Cash,
Jan 2026,2026-01-12,GST Invoice — Software License,Education,3300,Net Banking,GST Bill
Jan 2026,2026-01-13,Swiggy Order,Food & Dining,320,UPI,
Jan 2026,2026-01-13,Zomato Order,Food & Dining,390,UPI,
Jan 2026,2026-01-13,House Cleaning Service,Other,770,Cash,
Jan 2026,2026-01-14,Swiggy Order,Food & Dining,390,UPI,
Jan 2026,2026-01-14,Tea & Snacks,Food & Dining,52.7,Cash,
Jan 2026,2026-01-15,Mobile Recharge — Airtel,Bills & Utilities,340,UPI,
Jan 2026,2026-01-15,Amazon Prime,Entertainment,300,Credit Card,
