Month,Date,Description,Category,Amount,Payment Method,Notes
Jan 2026,2026-01-15,D-Mart Grocery Shopping,Food & Dining,2810,Debit Card,
Jan 2026,2026-01-16,Swiggy Order,Food & Dining,260,UPI,
Jan 2026,2026-01-16,Grocery — BigBasket,Food & Dining,1740,UPI,
Jan 2026,2026-01-18,Hotstar Subscription,Entertainment,490,Credit Card,
Jan 2026,2026-01-18,Zomato Order,Food & Dining,130,UPI,
Jan 2026,2026-01-19,Grocery — BigBasket,Food & Dining,2130,UPI,
Jan 2026,2026-01-19,Laundry Service,Other,160,Cash,
Jan 2026,2026-01-20,Petrol — HPCL,Transportation,1110,UPI,
Jan 2026,2026-01-21,YouTube Premium,Entertainment,130,UPI,
Jan 2026,2026-01-21,Ola/Uber Ride,Transportation,110,UPI,
Jan 2026,2026-01-22,Swiggy Order,Food & Dining,550,UPI,
Jan 2026,2026-01-24,Petrol — HPCL,Transportation,1220,UPI,
Jan 2026,2026-01-25,Tea & Snacks,Food & Dining,120,Cash,
Jan 2026,2026-01-25,D-Mart Grocery Shopping,Food & Dining,2050,Debit Card,
Jan 2026,2026-01-25,Metro Card Recharge,Transportation,450,UPI,
Jan 2026,2026-01-27,Zomato Order,Food & Dining,330,UPI,
Jan 2026,2026-01-27,Auto Rickshaw,Transportation,42.85,Cash,
Jan 2026,2026-01-27,GST Invoice — Courier Service,Other,370,Net Banking,GST Bill
Jan 2026,2026-01-29,Tea & Snacks,Food & Dining,64.12,Cash,
Jan 2026,2026-01-30,House Cleaning Service,Other,780,Cash,
Jan 2026,2026-01-31,Ola/Uber Ride,Transportation,210,UPI,
Jan 2026,2026-01-31,Ola/Uber Ride,Transportation,320,UPI,
Jan 2026,2026-01-31,Auto Rickshaw,Transportation,74.62,Cash,
Jan 2026,2026-01-31,Metro Card Recharge,Transportation,290,UPI,
Feb 2026,2026-02-01,Grocery — BigBasket,Food & Dining,1600,UPI,
Feb 2026,2026-02-01,GST Invoice — Office Supplies,Shopping,1480,Net Banking,GST Bill
Feb 2026,2026-02-02,House Rent,Bills & Utilities,9860,Net Banking,
Feb 2026,2026-02-02,BMTC Bus Pass,Transportation,600,Cash,
Feb 2026,2026-02-02,Gym Membership — Cult.fit,Health,1350,Credit Card,
Feb 2026,2026-02-02,Auto Rickshaw,Transportation,120,Cash,
Feb 2026,2026-02-02,Petrol — HPCL,Transportation,750,UPI,
Feb 2026,2026-02-03,BESCOM Electricity Bill,Bills & Utilities,1240,Net Banking,
Feb 2026,2026-02-03,Zomato Order,Food & Dining,260,UPI,
Feb 2026,2026-02-03,House Cleaning Service,Other,800,Cash,
Feb 2026,2026-02-04,Society Maintenance,Bills & Utilities,1420,Net Banking,
Feb 2026,2026-02-05,Laundry Service,Other,190,Cash,
Feb 2026,2026-02-06,GST Receipt — Hotel Stay,Travel,3440,Credit Card,GST Bill
Feb 2026,2026-02-07,Broadband — ACT Fibernet,Bills & Utilities,840,UPI,
Feb 2026,2026-02-07,SIP — Zerodha,Investment,3800,Net Banking,
Feb 2026,2026-02-07,Swiggy Order,Food & Dining,190,UPI,
Feb 2026,2026-02-07,Breakfast — Darshini,Food & Dining,97.87,Cash,
Feb 2026,2026-02-07,Tea & Snacks,Food & Dining,49.47,Cash,
Feb 2026,2026-02-08,BWSSB Water Bill,Bills & Utilities,330,Net Banking,
Feb 2026,2026-02-08,Breakfast — Darshini,Food & Dining,74.48,Cash,
Feb 2026,2026-02-08,Ola/Uber Ride,Transportation,210,UPI,
Feb 2026,2026-02-09,Spotify Premium,Entertainment,120,UPI,
Feb 2026,2026-02-09,Breakfast — Darshini,Food & Dining,96.79,Cash,
Feb 2026,2026-02-09,Auto Rickshaw,Transportation,46.37,Cash,
Feb 2026,2026-02-10,Zomato Order,Food & Dining,430,UPI,
Feb 2026,2026-02-10,Ola/Uber Ride,Transportation,85.23,UPI,
Feb 2026,2026-02-11,Netflix Subscription,Entertainment,310,Credit Card,
Feb 2026,2026-02-11,D-Mart Grocery Shopping,Food & Dining,1620,Debit Card,
Feb 2026,2026-02-12,Piped Gas Bill,Bills & Utilities,430,UPI,
Feb 2026,2026-02-12,LIC Premium,Investment,1980,Net Banking,
Feb 2026,2026-02-12,Zomato Order,Food & Dining,340,UPI,
Feb 2026,2026-02-12,Breakfast — Darshini,Food & Dining,140,Cash,
Feb 2026,2026-02-13,Zomato Order,Food & Dining,440,UPI,
Feb 2026,2026-02-15,Zomato Order,Food & Dining,480,UPI,
Feb 2026,2026-02-16,Amazon Prime,Entertainment,300,Credit Card,
Feb 2026,2026-02-16,Tea & Snacks,Food & Dining,54.88,Cash,
Feb 2026,2026-02-16,Grocery — BigBasket,Food & Dining,940,UPI,
Feb 2026,2026-02-16,D-Mart Grocery Shopping,Food & Dining,2300,Debit Card,
Feb 2026,2026-02-16,Metro Card Recharge,Transportation,220,UPI,
Feb 2026,2026-02-17,Mobile Recharge — Airtel,Bills & Utilities,550,UPI,
Feb 2026,2026-02-17,Zomato Order,Food & Dining,280,UPI,
Feb 2026,2026-02-17,Tea & Snacks,Food & Dining,83.71,Cash,
Feb 2026,2026-02-18,Swiggy Order,Food & Dining,160,UPI,
Feb 2026,2026-02-18,Swiggy Order,Food & Dining,530,UPI,
Feb 2026,2026-02-18,GST Invoice — Courier Service,Other,210,Net Banking,GST Bill
Feb 2026,2026-02-19,Tea & Snacks,Food & Dining,120,Cash,
Feb 2026,2026-02-19,House Cleaning Service,Other,770,Cash,
Feb 2026,2026-02-20,YouTube Premium,Entertainment,160,UPI,
Feb 2026,2026-02-21,Auto Rickshaw,Transportation,160,Cash,
Feb 2026,2026-02-21,Laundry Service,Other,320,Cash,
Feb 2026,2026-02-23,Swiggy Order,Food & Dining,390,UPI,
Feb 2026,2026-02-23,Auto Rickshaw,Transportation,170,Cash,
Feb 2026,2026-02-24,Swiggy Order,Food & Dining,350,UPI,
Feb 2026,2026-02-24,Breakfast — Darshini,Food & Dining,120,Cash,
Feb 2026,2026-02-27,Ola/Uber Ride,Transportation,150,UPI,
Feb 2026,2026-02-27,Metro Card Recharge,Transportation,220,UPI,
Feb 2026,2026-02-28,Petrol — HPCL,Transportation,980,UPI,
Mar 2026,2026-03-02,House Rent,Bills & Utilities,8280,Net Banking,
Mar 2026,2026-03-02,Swiggy Order,Food & Dining,590,UPI,
Mar 2026,2026-03-02,Ola/Uber Ride,Transportation,250,UPI,
Mar 2026,2026-03-03,BMTC Bus Pass,Transportation,600,Cash,
Mar 2026,2026-03-03,Breakfast — Darshini,Food & Dining,120,Cash,
Mar 2026,2026-03-04,Gym Membership — Cult.fit,Health,1120,Credit Card,
Mar 2026,2026-03-04,Ola/Uber Ride,Transportation,440,UPI,
Mar 2026,2026-03-05,BESCOM Electricity Bill,Bills & Utilities,1390,Net Banking,
Mar 2026,2026-03-05,Broadband — ACT Fibernet,Bills & Utilities,970,UPI,
Mar 2026,2026-03-05,Auto Rickshaw,Transportation,170,Cash,
Mar 2026,2026-03-06,Society Maintenance,Bills & Utilities,1380,Net Banking,
Mar 2026,2026-03-06,SIP — Zerodha,Investment,4770,Net Banking,
Mar 2026,2026-03-07,BWSSB Water Bill,Bills & Utilities,210,Net Banking,
Mar 2026,2026-03-07,Auto Rickshaw,Transportation,77.39,Cash,
Mar 2026,2026-03-08,Spotify Premium,Entertainment,120,UPI,
Mar 2026,2026-03-08,Swiggy Order,Food & Dining,630,UPI,
Mar 2026,2026-03-08,D-Mart Grocery Shopping,Food & Dining,2830,Debit Card,
Mar 2026,2026-03-08,Metro Card Recharge,Transportation,500,UPI,
Mar 2026,2026-03-09,Swiggy Order,Food & Dining,160,UPI,
Mar 2026,2026-03-09,Zomato Order,Food & Dining,390,UPI,
Mar 2026,2026-03-10,Netflix Subscription,Entertainment,610,Credit Card,
Mar 2026,2026-03-10,Tea & Snacks,Food & Dining,89.63,Cash,
Mar 2026,2026-03-10,Petrol — HPCL,Transportation,1050,UPI,
Mar 2026,2026-03-11,Piped Gas Bill,Bills & Utilities,560,UPI,
Mar 2026,2026-03-11,Ola/Uber Ride,Transportation,170,UPI,
Mar 2026,2026-03-13,Ola/Uber Ride,Transportation,400,UPI,
Mar 2026,2026-03-14,Amazon Prime,Entertainment,300,Credit Card,
Mar 2026,2026-03-14,Breakfast — Darshini,Food & Dining,100.0,Cash,
Mar 2026,2026-03-14,Tea & Snacks,Food & Dining,92.43,Cash,
Mar 2026,2026-03-14,Auto Rickshaw,Transportation,47.59,Cash,
Mar 2026,2026-03-15,LIC Premium,Investment,1900,Net Banking,
Mar 2026,2026-03-15,Swiggy Order,Food & Dining,190,UPI,
Mar 2026,2026-03-15,Auto Rickshaw,Transportation,150,Cash,
Mar 2026,2026-03-15,Grocery — BigBasket,Food & Dining,2030,UPI,
Mar 2026,2026-03-16,Mobile Recharge — Airtel,Bills & Utilities,430,UPI,
Mar 2026,2026-03-16,Grocery — BigBasket,Food & Dining,970,UPI,
Mar 2026,2026-03-17,Breakfast — Darshini,Food & Dining,140,Cash,
Mar 2026,2026-03-17,Auto Rickshaw,Transportation,90.65,Cash,
Mar 2026,2026-03-17,House Cleaning Service,Other,650,Cash,
Mar 2026,2026-03-18,Petrol — HPCL,Transportation,910,UPI,
Mar 2026,2026-03-19,Breakfast — Darshini,Food & Dining,110,Cash,
Mar 2026,2026-03-19,GST Invoice — Office Supplies,Shopping,1750,Net Banking,GST Bill
Mar 2026,2026-03-21,D-Mart Grocery Shopping,Food & Dining,2600,Debit Card,
Mar 2026,2026-03-22,YouTube Premium,Entertainment,170,UPI,
Mar 2026,2026-03-22,GST Receipt — Hotel Stay,Travel,4940,Credit Card,GST Bill
Mar 2026,2026-03-24,Swiggy Order,Food & Dining,310,UPI,
Mar 2026,2026-03-24,GST Receipt — Medical Equipment,Health,1250,Net Banking,GST Bill
Mar 2026,2026-03-25,Zomato Order,Food & Dining,430,UPI,
Mar 2026,2026-03-25,Zomato Order,Food & Dining,470,UPI,
Mar 2026,2026-03-25,Auto Rickshaw,Transportation,110,Cash,
Mar 2026,2026-03-27,Swiggy Order,Food & Dining,580,UPI,
Mar 2026,2026-03-27,Breakfast — Darshini,Food & Dining,120,Cash,
Mar 2026,2026-03-27,Ola/Uber Ride,Transportation,360,UPI,
Mar 2026,2026-03-27,Ola/Uber Ride,Transportation,450,UPI,
Mar 2026,2026-03-27,Laundry Service,Other,190,Cash,
Mar 2026,2026-03-28,Tea & Snacks,Food & Dining,44.47,Cash,
Mar 2026,2026-03-30,Breakfast — Darshini,Food & Dining,93.38,Cash,
Mar 2026,2026-03-30,Metro Card Recharge,Transportation,230,UPI,
Mar 2026,2026-03-30,House Cleaning Service,Other,660,Cash,
Mar 2026,2026-03-31,Laundry Service,Other,180,Cash,
Apr 2026,2026-04-02,House Rent,Bills & Utilities,9820,Net Banking,
Apr 2026,2026-04-02,Tea & Snacks,Food & Dining,59.19,Cash,
Apr 2026,2026-04-02,Tea & Snacks,Food & Dining,56.4,Cash,
Apr 2026,2026-04-02,GST Invoice — Office Supplies,Shopping,1750,Net Banking,GST Bill
Apr 2026,2026-04-03,BESCOM Electricity Bill,Bills & Utilities,1250,Net Banking,
Apr 2026,2026-04-03,BMTC Bus Pass,Transportation,600,Cash,
Apr 2026,2026-04-04,Society Maintenance,Bills & Utilities,1880,Net Banking,
Apr 2026,2026-04-04,Gym Membership — Cult.fit,Health,1960,Credit Card,
Apr 2026,2026-04-04,Tea & Snacks,Food & Dining,98.43,Cash,
Apr 2026,2026-04-05,Swiggy Order,Food & Dining,190,UPI,
Apr 2026,2026-04-05,Auto Rickshaw,Transportation,72.51,Cash,
Apr 2026,2026-04-06,Broadband — ACT Fibernet,Bills & Utilities,950,UPI,
Apr 2026,2026-04-06,Ola/Uber Ride,Transportation,140,UPI,
Apr 2026,2026-04-07,BWSSB Water Bill,Bills & Utilities,290,Net Banking,
Apr 2026,2026-04-07,SIP — Zerodha,Investment,2330,Net Banking,
Apr 2026,2026-04-07,Metro Card Recharge,Transportation,500,UPI,
Apr 2026,2026-04-08,College Fees,Education,6000,Net Banking,
Apr 2026,2026-04-08,Breakfast — Darshini,Food & Dining,140,Cash,
Apr 2026,2026-04-08,Breakfast — Darshini,Food & Dining,150,Cash,
Apr 2026,2026-04-08,Laundry Service,Other,250,Cash,
Apr 2026,2026-04-09,Auto Rickshaw,Transportation,130,Cash,
Apr 2026,2026-04-10,Spotify Premium,Entertainment,120,UPI,
Apr 2026,2026-04-10,Tea & Snacks,Food & Dining,110,Cash,
Apr 2026,2026-04-10,GST Invoice — Courier Service,Other,510,Net Banking,GST Bill
Apr 2026,2026-04-11,Netflix Subscription,Entertainment,220,Credit Card,
Apr 2026,2026-04-11,LIC Premium,Investment,2360,Net Banking,
Apr 2026,2026-04-11,PPF Deposit,Investment,520,Net Banking,
Apr 2026,2026-04-11,Swiggy Order,Food & Dining,460,UPI,
Apr 2026,2026-04-11,Zomato Order,Food & Dining,510,UPI,
Apr 2026,2026-04-11,Zomato Order,Food & Dining,410,UPI,
Apr 2026,2026-04-12,Piped Gas Bill,Bills & Utilities,580,UPI,
Apr 2026,2026-04-12,House Cleaning Service,Other,590,Cash,
Apr 2026,2026-04-14,Swiggy Order,Food & Dining,590,UPI,
Apr 2026,2026-04-14,Ola/Uber Ride,Transportation,130,UPI,
Apr 2026,2026-04-14,Petrol — HPCL,Transportation,1190,UPI,
Apr 2026,2026-04-15,Amazon Prime,Entertainment,300,Credit Card,
Apr 2026,2026-04-15,Tea & Snacks,Food & Dining,44.97,Cash,
Apr 2026,2026-04-15,D-Mart Grocery Shopping,Food & Dining,3370,Debit Card,
Apr 2026,2026-04-15,Metro Card Recharge,Transportation,450,UPI,
Apr 2026,2026-04-16,Mobile Recharge — Airtel,Bills & Utilities,470,UPI,
Apr 2026,2026-04-16,Auto Rickshaw,Transportation,170,Cash,
Apr 2026,2026-04-17,Ola/Uber Ride,Transportation,230,UPI,
Apr 2026,2026-04-18,Hotstar Subscription,Entertainment,470,Credit Card,
Apr 2026,2026-04-18,D-Mart Grocery Shopping,Food & Dining,1560,Debit Card,
Apr 2026,2026-04-19,Petrol — HPCL,Transportation,800,UPI,
Apr 2026,2026-04-20,Ola/Uber Ride,Transportation,400,UPI,
Apr 2026,2026-04-21,Zomato Order,Food & Dining,160,UPI,
Apr 2026,2026-04-21,Auto Rickshaw,Transportation,75.56,Cash,
Apr 2026,2026-04-22,YouTube Premium,Entertainment,180,UPI,
Apr 2026,2026-04-22,Ola/Uber Ride,Transportation,370,UPI,
Apr 2026,2026-04-23,Tea & Snacks,Food & Dining,110,Cash,
Apr 2026,2026-04-23,House Cleaning Service,Other,450,Cash,
Apr 2026,2026-04-24,GST Receipt — Medical Equipment,Health,830,Net Banking,GST Bill
Apr 2026,2026-04-26,Swiggy Order,Food & Dining,630,UPI,
Apr 2026,2026-04-28,Zomato Order,Food & Dining,370,UPI,
Apr 2026,2026-04-28,Zomato Order,Food & Dining,370,UPI,
Apr 2026,2026-04-28,Laundry Service,Other,270,Cash,
Apr 2026,2026-04-29,Zomato Order,Food & Dining,470,UPI,
Apr 2026,2026-04-29,Grocery — BigBasket,Food & Dining,1930,UPI,
Apr 2026,2026-04-29,Grocery — BigBasket,Food & Dining,1200,UPI,
Apr 2026,2026-04-30,Breakfast — Darshini,Food & Dining,94.49,Cash,
May 2026,2026-05-01,BMTC Bus Pass,Transportation,600,Cash,
May 2026,2026-05-02,House Rent,Bills & Utilities,10120,Net Banking,
May 2026,2026-05-02,Zomato Order,Food & Dining,260,UPI,
May 2026,2026-05-02,Auto Rickshaw,Transportation,95.74,Cash,
May 2026,2026-05-02,Grocery — BigBasket,Food & Dining,1900,UPI,
May 2026,2026-05-03,Petrol — HPCL,Transportation,1330,UPI,
May 2026,2026-05-04,BESCOM Electricity Bill,Bills & Utilities,1130,Net Banking,
May 2026,2026-05-04,Gym Membership — Cult.fit,Health,1970,Credit Card,
May 2026,2026-05-04,Swiggy Order,Food & Dining,490,UPI,
May 2026,2026-05-04,Tea & Snacks,Food & Dining,110,Cash,
May 2026,2026-05-05,Society Maintenance,Bills & Utilities,1970,Net Banking,
May 2026,2026-05-05,Zomato Order,Food & Dining,140,UPI,
May 2026,2026-05-05,Laundry Service,Other,350,Cash,
May 2026,2026-05-05,House Cleaning Service,Other,570,Cash,
May 2026,2026-05-06,Broadband — ACT Fibernet,Bills & Utilities,930,UPI,
May 2026,2026-05-06,SIP — Zerodha,Investment,1060,Net Banking,
May 2026,2026-05-07,BWSSB Water Bill,Bills & Utilities,240,Net Banking,
May 2026,2026-05-07,College Fees,Education,11730,Net Banking,
May 2026,2026-05-07,Ola/Uber Ride,Transportation,240,UPI,
May 2026,2026-05-07,Auto Rickshaw,Transportation,180,Cash,
May 2026,2026-05-07,Auto Rickshaw,Transportation,130,Cash,
May 2026,2026-05-07,Metro Card Recharge,Transportation,440,UPI,
May 2026,2026-05-08,Swiggy Order,Food & Dining,470,UPI,
May 2026,2026-05-08,Zomato Order,Food & Dining,530,UPI,
May 2026,2026-05-08,D-Mart Grocery Shopping,Food & Dining,3470,Debit Card,
May 2026,2026-05-08,Metro Card Recharge,Transportation,300,UPI,
May 2026,2026-05-09,Spotify Premium,Entertainment,120,UPI,
May 2026,2026-05-10,Piped Gas Bill,Bills & Utilities,590,UPI,
May 2026,2026-05-10,PPF Deposit,Investment,1380,Net Banking,
May 2026,2026-05-11,Netflix Subscription,Entertainment,530,Credit Card,
May 2026,2026-05-11,Swiggy Order,Food & Dining,610,UPI,
May 2026,2026-05-12,Ola/Uber Ride,Transportation,120,UPI,
May 2026,2026-05-13,Breakfast — Darshini,Food & Dining,110,Cash,
May 2026,2026-05-14,LIC Premium,Investment,2040,Net Banking,
May 2026,2026-05-14,Breakfast — Darshini,Food & Dining,130,Cash,
May 2026,2026-05-15,Amazon Prime,Entertainment,300,Credit Card,
May 2026,2026-05-15,Auto Rickshaw,Transportation,52.83,Cash,
May 2026,2026-05-15,GST Invoice — Courier Service,Other,510,Net Banking,GST Bill
May 2026,2026-05-15,GST Invoice — Software License,Education,2860,Net Banking,GST Bill
May 2026,2026-05-16,Swiggy Order,Food & Dining,160,UPI,
May 2026,2026-05-16,Zomato Order,Food & Dining,170,UPI,
May 2026,2026-05-17,Mobile Recharge — Airtel,Bills & Utilities,570,UPI,
May 2026,2026-05-17,GST Invoice — Office Supplies,Shopping,1770,Net Banking,GST Bill
May 2026,2026-05-18,Petrol — HPCL,Transportation,710,UPI,
May 2026,2026-05-20,YouTube Premium,Entertainment,170,UPI,
May 2026,2026-05-20,Hotstar Subscription,Entertainment,320,Credit Card,
May 2026,2026-05-20,Tea & Snacks,Food & Dining,66.73,Cash,
May 2026,2026-05-20,Grocery — BigBasket,Food & Dining,2160,UPI,
May 2026,2026-05-20,Laundry Service,Other,150,Cash,
May 2026,2026-05-21,Zomato Order,Food & Dining,310,UPI,
May 2026,2026-05-22,Breakfast — Darshini,Food & Dining,170,Cash,
May 2026,2026-05-22,Ola/Uber Ride,Transportation,220,UPI,
May 2026,2026-05-23,Breakfast — Darshini,Food & Dining,170,Cash,
May 2026,2026-05-26,D-Mart Grocery Shopping,Food & Dining,2500,Debit Card,
May 2026,2026-05-28,House Cleaning Service,Other,790,Cash,
May 2026,2026-05-29,Swiggy Order,Food & Dining,620,UPI,
May 2026,2026-05-29,Tea & Snacks,Food & Dining,67.34,Cash,
May 2026,2026-05-29,Ola/Uber Ride,Transportation,440,UPI,
May 2026,2026-05-30,Zomato Order,Food & Dining,440,UPI,
May 2026,2026-05-31,Tea & Snacks,Food & Dining,55.18,Cash,
May 2026,2026-05-31,Ola/Uber Ride,Transportation,170,UPI,
May 2026,2026-05-31,Auto Rickshaw,Transportation,160,Cash,
